HUCId,MapDate,HUC,HUCLevel,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
03090202,20241231,Everglades,8,16.69,83.31,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
03090202,20241224,Everglades,8,0.00,100.00,2.04,0.00,0.00,0.00,2024-12-24,2024-12-30,1
03090202,20241217,Everglades,8,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
03090202,20241210,Everglades,8,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
03090202,20241203,Everglades,8,19.08,80.92,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
03090202,20241126,Everglades,8,35.48,64.52,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
03090202,20241119,Everglades,8,74.44,25.56,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,1
03090202,20241112,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
03090202,20241105,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
03090202,20241029,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
03090202,20241022,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
03090202,20241015,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
03090202,20241008,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
03090202,20241001,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
03090202,20240924,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
03090202,20240917,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
03090202,20240910,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
03090202,20240903,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
03090202,20240827,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
03090202,20240820,Everglades,8,99.87,0.13,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
03090202,20240813,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
03090202,20240806,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
03090202,20240730,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
03090202,20240723,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
03090202,20240716,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
03090202,20240709,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
03090202,20240702,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
03090202,20240625,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
03090202,20240618,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
03090202,20240611,Everglades,8,0.00,100.00,76.82,24.77,0.00,0.00,2024-06-11,2024-06-17,1
03090202,20240604,Everglades,8,0.00,100.00,76.82,41.09,0.00,0.00,2024-06-04,2024-06-10,1
03090202,20240528,Everglades,8,23.07,76.93,57.98,0.00,0.00,0.00,2024-05-28,2024-06-03,1
03090202,20240521,Everglades,8,23.07,76.93,31.76,0.00,0.00,0.00,2024-05-21,2024-05-27,1
03090202,20240514,Everglades,8,41.95,58.05,1.29,0.00,0.00,0.00,2024-05-14,2024-05-20,1
03090202,20240507,Everglades,8,44.38,55.62,10.28,0.00,0.00,0.00,2024-05-07,2024-05-13,1
03090202,20240430,Everglades,8,55.20,44.80,10.28,0.00,0.00,0.00,2024-04-30,2024-05-06,1
03090202,20240423,Everglades,8,89.71,10.29,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
03090202,20240416,Everglades,8,89.71,10.29,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
03090202,20240409,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
03090202,20240402,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
03090202,20240326,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
03090202,20240319,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
03090202,20240312,Everglades,8,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
