time,lat,lon,NDVI
2000-01-31,25.575,-80.775,0.49
2000-02-29,25.575,-80.775,0.449
2000-03-31,25.575,-80.775,0.4656
2000-04-30,25.575,-80.775,0.5828
2000-05-31,25.575,-80.775,0.4815
2000-06-30,25.575,-80.775,0.4661
2000-07-31,25.575,-80.775,0.5503
2000-08-31,25.575,-80.775,0.4554
2000-09-30,25.575,-80.775,0.4062
2000-10-31,25.575,-80.775,0.5041
2000-11-30,25.575,-80.775,0.4746
2000-12-31,25.575,-80.775,0.421
2001-01-31,25.575,-80.775,0.4547
2001-02-28,25.575,-80.775,0.5157
2001-03-31,25.575,-80.775,0.4037
2001-04-30,25.575,-80.775,0.5499
2001-05-31,25.575,-80.775,0.3726
2001-06-30,25.575,-80.775,0.394
2001-07-31,25.575,-80.775,0.4858
2001-08-31,25.575,-80.775,0.457
2001-09-30,25.575,-80.775,0.4168
2001-10-31,25.575,-80.775,0.472
2001-11-30,25.575,-80.775,0.5383
2001-12-31,25.575,-80.775,0.502
2002-01-31,25.575,-80.775,0.5024
2002-02-28,25.575,-80.775,0.4775
2002-03-31,25.575,-80.775,0.4093
2002-04-30,25.575,-80.775,0.5152
2002-05-31,25.575,-80.775,0.4535
2002-06-30,25.575,-80.775,0.4671
2002-07-31,25.575,-80.775,0.5273
2002-08-31,25.575,-80.775,0.4787
2002-09-30,25.575,-80.775,0.5356
2002-10-31,25.575,-80.775,0.4345
2002-11-30,25.575,-80.775,0.4621
2002-12-31,25.575,-80.775,0.4835
2003-01-31,25.575,-80.775,0.4614
2003-02-28,25.575,-80.775,0.5017
2003-03-31,25.575,-80.775,0.4482
2003-04-30,25.575,-80.775,0.491
2003-05-31,25.575,-80.775,0.4466
2003-06-30,25.575,-80.775,0.4496
2003-07-31,25.575,-80.775,0.5084
2003-08-31,25.575,-80.775,0.4951
2003-09-30,25.575,-80.775,0.4832
2003-10-31,25.575,-80.775,0.4808
2003-11-30,25.575,-80.775,0.4562
2003-12-31,25.575,-80.775,0.4881
2004-01-31,25.575,-80.775,0.4779
2004-02-29,25.575,-80.775,0.4759
2004-03-31,25.575,-80.775,0.5136
2004-04-30,25.575,-80.775,0.488
2004-05-31,25.575,-80.775,0.453
2004-06-30,25.575,-80.775,0.4064
2004-07-31,25.575,-80.775,0.4442
2004-08-31,25.575,-80.775,0.4171
2004-09-30,25.575,-80.775,0.4506
2004-10-31,25.575,-80.775,0.4732
2004-11-30,25.575,-80.775,0.503
2004-12-31,25.575,-80.775,0.5074
2005-01-31,25.575,-80.775,0.49
2005-02-28,25.575,-80.775,0.4904
2005-03-31,25.575,-80.775,0.5012
2005-04-30,25.575,-80.775,0.38
2005-05-31,25.575,-80.775,0.5041
2005-06-30,25.575,-80.775,0.4912
2005-07-31,25.575,-80.775,0.4863
2005-08-31,25.575,-80.775,0.4563
2005-09-30,25.575,-80.775,0.4693
2005-10-31,25.575,-80.775,0.5142
2005-11-30,25.575,-80.775,0.5092
2005-12-31,25.575,-80.775,0.4181
2006-01-31,25.575,-80.775,0.4535
2006-02-28,25.575,-80.775,0.4733
2006-03-31,25.575,-80.775,0.4254
2006-04-30,25.575,-80.775,0.469
2006-05-31,25.575,-80.775,0.5409
2006-06-30,25.575,-80.775,0.5322
2006-07-31,25.575,-80.775,0.4827
2006-08-31,25.575,-80.775,0.4884
2006-09-30,25.575,-80.775,0.5093
2006-10-31,25.575,-80.775,0.3702
2006-11-30,25.575,-80.775,0.4047
2006-12-31,25.575,-80.775,0.4294
2007-01-31,25.575,-80.775,0.46
2007-02-28,25.575,-80.775,0.4774
2007-03-31,25.575,-80.775,0.4492
2007-04-30,25.575,-80.775,0.5387
2007-05-31,25.575,-80.775,0.5043
2007-06-30,25.575,-80.775,0.4447
2007-07-31,25.575,-80.775,0.5302
2007-08-31,25.575,-80.775,0.5386
